MATRICULA;COD_SETOR;COD_CARGO;NIVEL_CARGO;COD STATUS;DATA_INGRESSO;DATA FIM;SALARIO_BASE;ADICIONAIS;ISE 2020;AV DESEMPENHO 2020
8422400699;3;22;1;1;17/07/2014;;11800,12;575,42;6;7
7772486099;1;2;2;1;01/06/1982;;14981,22;582,33;8;4
8000702899;3;20;1;1;15/07/2014;;8306,11;685,11;7;5
7721108299;1;1;2;1;30/12/2009;;9316,32;574,38;9;9
7531257199;1;1;1;1;16/06/2008;;8601,52;882,04;6;6
7522321299;3;22;1;1;27/07/2012;;11800,12;574,38;7;5
8412139499;3;22;2;1;10/03/2017;;11800,12;1203,58;9;8
7391842299;3;22;1;1;04/05/2018;;3522,21;229;7;3
7390989899;1;3;2;1;13/07/1998;;12337,57;902,95;5;4
7782279799;3;22;2;2;11/11/2015;15/05/2021;12188,26;0;8;8
8032216499;1;8;1;1;16/03/2012;;4488,6;799,56;9;7
7702704699;3;22;3;1;13/11/2009;;7803,45;827,49;7;4
7760775899;4;26;2;1;22/07/1985;;18318,72;582,33;5;4
7811725199;3;22;3;1;26/11/2009;;8781,48;678,39;8;4
8650009299;3;22;1;1;20/10/2020;;9616,18;458;5;3
8221690499;3;22;3;1;06/02/2014;;11800,12;779;8;9
7911879099;4;25;1;1;30/09/2010;;8966,61;458;7;5
7451729499;3;22;1;1;04/12/2017;;11800,12;882,58;9;4
7570913199;3;22;1;1;19/03/2009;;11800,12;458;8;4
